YMR138W|GO:0005525; GO:0006457; GO:0007021
YBL041W|GO:0004298; GO:0005634; GO:0010499; GO:0019774; GO:0043161
YLR452C|GO:0035556
YGL156W|GO:0000329; GO:0004559; GO:0009313; GO:0019309; GO:0030246; GO:0034270
YJR119C|GO:0000122; GO:0000183; GO:0005634; GO:0034649; GO:0045944; GO:0046872; GO:0060623; GO:0071041; GO:1902275; GO:1904388
YNL104C|GO:0003852; GO:0005739; GO:0009098
YLL046C|GO:0003723; GO:0005737; GO:0042254
YOR355W|GO:0009060
YHR161C|GO:0005545; GO:0006897; GO:0030136; GO:0030276; GO:0048268
YBR061C|GO:0002130; GO:0002181; GO:0005737; GO:0009020; GO:0052666
YDL192W|GO:0005525
YNL121C|GO:0005742; GO:0015450; GO:0030150; GO:0030943; GO:0031307; GO:0045039
YGR085C|GO:0000027; GO:0003735; GO:0006412; GO:0022625
YGR250C|GO:0003723; GO:0010494
YBR141C|GO:0005730; GO:0016433
YEL026W|GO:0000398; GO:0000462; GO:0030621; GO:0031428; GO:0032040; GO:0034511; GO:0046540; GO:1905216
YML043C|GO:0001164; GO:0001181; GO:0017025; GO:0042790; GO:0070860
YJR058C|GO:0006886; GO:0030122; GO:0035615; GO:0072583
YMR274C|GO:0004197; GO:0004222; GO:0030176; GO:0071432; GO:0071586
YPR135W|GO:0000727; GO:0001302; GO:0003682; GO:0006270; GO:0007064; GO:0031298; GO:0034085; GO:0042802
YBR045C|GO:0000164; GO:0005628; GO:0008157; GO:0019888; GO:0030476
YOL031C|GO:0000774; GO:0005783; GO:0006616
YHR199C|GO:0016872
YOR204W|GO:0000390; GO:0003724; GO:0003729; GO:0005524; GO:0005634; GO:0006413; GO:0010494; GO:0031370; GO:0033592; GO:1901195
YJL151C|GO:0000328; GO:0016021; GO:0031625; GO:0032509; GO:0044257
YBL040C|GO:0006621; GO:0006888; GO:0015031; GO:0030176; GO:0045015
YGR031W|GO:0005739
YHR195W|GO:0005635; GO:0016021; GO:0034613; GO:0071561; GO:0071562
YNL148C|GO:0007023; GO:0008017; GO:0043014
YHR064C|GO:0002181; GO:0005524; GO:0005737; GO:0005844; GO:0006364; GO:0006450; GO:0006452; GO:0051082; GO:0051083
YGR036C|GO:0006487; GO:0008610; GO:0030176; GO:0047874
YGL249W|GO:0000217; GO:0000795; GO:0007130; GO:0007131; GO:0033235
YJL166W|GO:0005750; GO:0006122; GO:0008121; GO:0009060; GO:0016021
YPL093W|GO:0000054; GO:0005525; GO:0005730; GO:0005737; GO:0006364; GO:0030687; GO:0042273; GO:1902626
YPL181W|GO:0008134; GO:0030174; GO:0031939; GO:0033698; GO:0035064; GO:0046872; GO:0061186; GO:0061188
YLL028W|GO:0000297; GO:0000329; GO:0015606; GO:0015847; GO:0016021; GO:0033101
YDR252W|GO:0005854; GO:0006620; GO:0030015; GO:0051082
YNL222W|GO:0000790; GO:0001174; GO:0004725; GO:0005847; GO:0006368; GO:0008420; GO:0009302; GO:0030846; GO:0030847; GO:0031564; GO:0032211; GO:0032215; GO:0070940; GO:0098789; GO:1902801; GO:1904594
YPL096W|GO:0000224; GO:0005634; GO:0005829; GO:0006515; GO:0006517; GO:0097466
YGL153W|GO:0005778; GO:0016560; GO:0030674; GO:1990429
YBR139W|GO:0004185
YER139C|GO:0005634; GO:0005737; GO:0006366; GO:0008420; GO:0043175; GO:0070940
YOR380W|GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270; GO:0009410; GO:0042025
YHR188C|GO:0003923; GO:0016255; GO:0042765
YJL143W|GO:0000002; GO:0005744; GO:0015450; GO:0030150
YPL009C|GO:0000049; GO:0010494; GO:0043023; GO:0072344; GO:1990112; GO:1990116
YOR027W|GO:0003729; GO:0005737; GO:0006457; GO:0006626; GO:0030544; GO:0042030; GO:0051879
YDR017C|GO:0000827; GO:0000828; GO:0000829; GO:0010919; GO:0032958
YER183C|GO:0005524; GO:0009396; GO:0030272; GO:0046872
YML041C|GO:0000812; GO:0031491; GO:0043486; GO:0046872
YMR193W|GO:0003735; GO:0005762
YLL051C|GO:0000293; GO:0000329; GO:0006880; GO:0015677; GO:0016021
