protein,ECC,GO_Nb,SL_Nb,essential,ES
Q0045,0.0,0.0,0.0,0,0.0
YGL187C,0.0,0.0,0.0,0,0.0
Q0085,0.0,0.0,0.0,0,0.0
YPL078C,0.0,0.0,0.0,0,0.0
Q0250,0.0,0.0,0.0,0,0.0
YER154W,0.0,0.0,0.0,0,0.0
Q0275,0.0,0.0,0.0,0,0.0
YAL001C,0.3269230769230769,4.5,1.0,1,0.3269230769230769
YDR362C,0.0,0.0,0.0,1,0.0
YER148W,1.5685809031010272,12.652614379084968,20.5,1,1.5685809031010272
YGR246C,0.3269230769230769,3.4333333333333336,4.5,1,0.3269230769230769
YAL002W,0.46812035817521463,13.55768398268398,41.833333333333336,0,0.46812035817521463
YOR089C,1.1205975784948254,17.52012987012987,41.38888888888889,0,1.1205975784948254
YAL003W,0.0,0.0,0.0,1,0.0
YBR118W,0.0,0.0,0.0,0,0.0
YKL081W,0.0,0.0,0.0,0,0.0
YPR080W,0.0,0.0,0.0,0,0.0
YAL004W,0.0,0.0,0.0,0,0.0
YML109W,1.5602016698577326,45.75833333333333,0.0,0,1.5602016698577326
YAL005C,0.5719548425430778,4.3127828054298645,3.5,0,0.5719548425430778
YAL040C,2.1428571428571432,46.243500127323664,0.0,0,2.1428571428571432
YER151C,0.14313407181054238,0.0,0.0,0,0.0
YJL061W,0.648713795364264,16.94102564102564,8.3125,1,0.648713795364264
YLR310C,0.6993006993006993,7.446428571428571,13.333333333333334,1,0.6993006993006993
YNL064C,0.7009537297561801,7.769796380090497,13.083333333333334,0,0.7009537297561801
YNL189W,0.5138888888888882,31.03333333333333,46.0,1,0.5138888888888882
YPL240C,1.2324295587453482,10.521703296703295,30.0,0,1.2324295587453482
YAL009W,0.47204968944099374,3.892857142857143,3.2777777777777777,0,0.47204968944099374
YDL116W,0.08695652173913043,2.017857142857143,1.5,0,0.08695652173913043
YGL100W,0.0,0.0,0.0,0,0.0
YHR004C,0.5242790531749068,12.285714285714286,9.055555555555555,0,0.5242790531749068
YKL057C,0.2857142857142857,2.017857142857143,1.5,0,0.2857142857142857
YML103C,0.47619047619047616,2.017857142857143,1.8958333333333333,0,0.47619047619047616
YAL011W,1.2988952309631483,21.627006327006328,65.66666666666667,0,1.2988952309631483
YDL181W,0.0,0.0,0.0,0,0.0
YHR158C,0.5678466620762017,8.69047619047619,0.0,0,0.5678466620762017
YIR018W,0.0,0.0,0.0,0,0.0
YOR127W,0.5687183648354626,17.014485514485518,0.0,0,0.5687183648354626
YOR269W,2.7476055427242874,45.99441391941392,113.16666666666667,0,2.7476055427242874
YAL013W,2.2383633320253034,89.89943545017076,151.16666666666666,0,2.2383633320253034
YBL008W,0.2543928462360666,0.0,1.0,0,0.2543928462360666
YBL027W,0.0,0.0,0.0,0,0.0
YBR103W,0.8837272792443363,44.2,48.333333333333336,0,0.8837272792443363
YBR171W,0.5698864749869885,46.4,9.5,0,0.5698864749869885
YCR033W,0.053702461297398,2.023809523809524,4.0,0,0.053702461297398
YDL002C,0.5688311688311688,8.5,7.5,0,0.5688311688311688
YDL074C,1.6093494211091495,18.09105339105339,61.166666666666664,0,1.6093494211091495
YDL080C,0.0,0.0,0.0,0,0.0
YDR146C,0.15734989648033126,2.5,0.0,0,0.15734989648033126
YDR181C,0.0,0.0,0.0,0,0.0
YDR334W,0.5589719557158044,14.75887445887446,47.833333333333336,0,0.5589719557158044
YDR363W-A,0.5987734487734487,0.0,0.0,0,0.0
YDR392W,8.509454786699367,60.955872850919285,30.0,0,8.509454786699367
YDR485C,0.3703776595903855,28.5,9.5,0,0.3703776595903855
YER016W,12.159188710468818,811.3438977688977,1447.4999999999998,1,12.159188710468818
YER111C,2.3443993542375328,42.39455266955267,0.0,0,2.3443993542375328
YER139C,0.050649350649350645,6.333333333333333,2.75,0,0.050649350649350645
YFR010W,0.12710825721130659,4.666666666666666,0.0,0,0.12710825721130659
YGL127C,0.7224982027318475,64.9595238095238,50.0,0,0.7224982027318475
YGL133W,0.025396825396825397,0.0,0.0,0,0.0
YGL149W,0.0,0.0,0.0,0,0.0
YGL161C,1.5938040287885489,18.75,48.25,0,1.5938040287885489
YGL167C,0.3749422502038228,14.726190476190474,18.416666666666668,0,0.3749422502038228
YGL194C,0.11043344840813195,4.773809523809524,0.0,0,0.11043344840813195
YGL244W,0.8454574222572739,27.83051948051948,100.66666666666666,0,0.8454574222572739
YGR105W,0.2256602413229718,18.6,2.8333333333333335,0,0.2256602413229718
YGR181W,0.0,0.0,0.0,0,0.0
YGR182C,0.021690590111642743,0.0,0.0,0,0.0
YGR200C,0.23296616412900473,4.303113553113553,9.75,0,0.23296616412900473
YGR270W,0.19482109581152965,6.115384615384615,0.0,0,0.19482109581152965
YHR041C,0.49254658385093164,4.063157894736842,23.333333333333332,0,0.49254658385093164
YHR060W,0.5391239286265969,23.0,0.0,0,0.5391239286265969
