protein,ECC,GO_Nb,SL_Nb,essential,ES
YDL106C,0.0,0.0,0.0,0,0.0
YKR099W,0.0,0.0,0.0,0,0.0
YKL205W,0.18803418803418803,5.9,8.125,1,0.18803418803418803
YNR034W,0.0,0.0,0.0,0,0.0
YGL035C,0.375,4.714285714285714,2.0,0,0.375
YBR112C,0.75,4.790909090909091,5.0,1,0.75
YBR195C,0.0,3.2,0.0,0,0.0
YML102W,0.0,1.25,0.0,0,0.0
YNL259C,0.0,0.0,0.0,0,0.0
YDR270W,0.0,0.0,0.0,0,0.0
YBR010W,3.6180555555555554,16.004901960784313,0.0,0,3.6180555555555554
YLR442C,0.9852272727272727,6.259103641456583,4.0,0,0.9852272727272727
YBR009C,2.9,13.683473389355743,0.0,1,2.9
YDR227W,0.2851190476190476,0.0,0.0,0,0.0
YNL216W,0.0,0.0,0.0,1,0.0
YDR225W,5.377272727272727,35.900000000000006,7.0,0,5.377272727272727
YDR224C,4.47260101010101,19.914285714285715,7.0,1,4.47260101010101
YLR182W,0.6916666666666667,3.0,0.0,1,0.6916666666666667
YER111C,0.6916666666666667,4.587301587301587,0.0,0,0.6916666666666667
YPR119W,0.0,0.0,0.0,0,0.0
YPL204W,2.0,2.2666666666666666,9.377777777777778,1,2.0
YDR085C,0.0,0.0,0.0,0,0.0
YHR107C,1.107142857142857,19.943722943722943,6.0,1,1.107142857142857
YDR477W,1.7142857142857144,5.885714285714286,19.8125,0,1.7142857142857144
YNL257C,0.0,0.0,0.0,0,0.0
YER032W,0.20833333333333331,2.2403846153846154,0.0,0,0.20833333333333331
YDR195W,0.0,0.0,0.0,0,0.0
YLR240W,0.0,0.0,0.0,1,0.0
YBR097W,0.0,0.0,0.0,0,0.0
YGL086W,0.0,7.428571428571429,0.0,0,0.0
YGL116W,0.0,5.2,0.0,1,0.0
YLR178C,0.427485380116959,4.964285714285714,12.0,0,0.427485380116959
YJL061W,0.32142857142857145,0.0,1.8958333333333333,1,0.32142857142857145
YFR002W,1.7329991645781118,11.708333333333332,10.895833333333332,1,1.7329991645781118
YGR119C,3.1999999999999997,44.16666666666666,25.25,1,3.1999999999999997
YGL172W,3.6329519450800913,39.595238095238095,27.249999999999996,1,3.6329519450800913
YPR141C,0.8352007469654529,1.9,7.111111111111111,0,0.8352007469654529
YMR198W,0.27142857142857146,6.666666666666666,1.9444444444444444,1,0.27142857142857146
YFR034C,0.6540709290709291,28.000000000000004,5.0,0,0.6540709290709291
YBR119W,0.0,0.0,0.0,0,0.0
YLR223C,0.0,0.0,0.0,1,0.0
YLR449W,0.0,0.0,0.0,0,0.0
YNL227C,0.0,0.0,0.0,0,0.0
YML016C,0.30952380952380953,2.0,0.0,0,0.30952380952380953
YDR110W,0.0,0.0,0.0,0,0.0
YIL061C,0.0,0.0,0.0,1,0.0
YAL047C,0.2,0.0,3.0,0,0.2
YCR101C,0.0,0.0,0.0,0,0.0
YFR039C,0.0,0.0,0.0,0,0.0
YGR203W,0.0,0.0,0.0,0,0.0
YLR017W,0.0,0.0,0.0,0,0.0
YLR213C,0.0,0.0,0.0,0,0.0
YMR009W,0.0,0.0,0.0,0,0.0
YMR044W,0.0,0.0,0.0,0,0.0
YOR275C,0.0,2.4,0.0,0,0.0
YLR153C,0.0,0.0,0.0,1,0.0
YNR016C,0.0,0.0,0.0,1,0.0
YNL199C,0.0,0.0,0.0,0,0.0
YHR079C,0.0,0.0,0.0,0,0.0
YBL063W,0.0,0.0,0.0,0,0.0
YFL016C,0.5333333333333333,0.0,4.5,0,0.5333333333333333
YHR023W,0.0,0.0,0.0,1,0.0
YER105C,0.051417270929466054,2.1142857142857143,1.0,0,0.051417270929466054
YOR346W,0.0,0.0,0.0,0,0.0
YOL004W,0.8,28.485,8.0,0,0.8
YPL016W,4.753246753246753,17.22222222222222,3.0,1,4.753246753246753
YBR117C,0.0,0.0,0.0,0,0.0
YER172C,0.9246047430830041,5.357142857142857,21.5,1,0.9246047430830041
YPL215W,0.0,0.0,0.0,0,0.0
YDL013W,0.0,0.0,0.0,1,0.0
YMR240C,0.375,2.207792207792208,2.0,1,0.375
YLR090W,0.0,0.0,0.0,0,0.0
YOR319W,0.0,5.5,0.0,1,0.0
YGR056W,6.415384615384616,39.84166666666667,9.0,0,6.415384615384616
YHR209W,0.0,0.0,0.0,0,0.0
YJR022W,0.43478260869565216,47.833333333333336,9.75,1,0.43478260869565216
YDR228C,2.3795518207282913,2.25,14.0,1,2.3795518207282913
YGL096W,0.0,0.0,0.0,0,0.0
YHR034C,0.0,0.0,0.0,0,0.0
YHR035W,0.0,0.0,0.0,0,0.0
YIL173W,0.0,0.0,0.0,0,0.0
YNL050C,0.0,0.0,0.0,0,0.0
YOR076C,0.0,0.0,0.0,1,0.0
YBR003W,0.0,0.0,0.0,0,0.0
YGL173C,0.2995496894409938,0.631578947368421,4.5,0,0.2995496894409938
YNR050C,0.0,0.0,0.0,0,0.0
YDR277C,0.0,0.0,0.0,0,0.0
YNL118C,0.06173913043478261,3.482456140350877,4.0,1,0.06173913043478261
YNR053C,0.6191095740008784,8.0,5.25,1,0.6191095740008784
YER013W,0.0,0.0,0.0,1,0.0
YLR116W,0.4880952380952381,0.0,0.0,1,0.0
YJR066W,0.857142857142857,4.923809523809523,0.8,0,0.857142857142857
YJR005W,1.5,2.05,3.5,0,1.5
YDL156W,0.0,0.0,0.0,0,0.0
YDL161W,0.0,0.0,0.0,0,0.0
YIL130W,0.0,0.0,0.0,0,0.0
YMR065W,0.2159090909090909,0.0,1.9444444444444444,0,0.2159090909090909
YML046W,0.20833333333333331,0.0,0.0,1,0.0
YBR172C,0.20833333333333331,0.0,0.0,0,0.0
YKL074C,0.5714285714285714,0.0,0.0,0,0.0
YPL105C,0.0,0.0,0.0,0,0.0
YLR357W,6.77094017094017,31.241666666666664,9.0,0,6.77094017094017
YDL043C,0.125,18.0,4.5,1,0.125
YJL146W,0.0,0.0,0.0,0,0.0
YMR302C,0.0,0.0,0.0,0,0.0
YBR113W,0.0,0.0,0.0,0,0.0
YDR131C,0.0,4.0,0.0,0,0.0
YDR180W,0.0,0.0,0.0,1,0.0
YDR386W,0.0,0.0,0.0,0,0.0
YDR409W,0.35,0.0,1.5,0,0.35
YER113C,0.0,0.0,0.0,0,0.0
YKL155C,0.0,0.0,0.0,0,0.0
YLL014W,0.0,0.0,0.0,0,0.0
YMR117C,1.018627450980392,23.4,9.25,1,1.018627450980392
YNL023C,0.0,1.6,0.0,0,0.0
YJL203W,0.16666666666666666,1.0,2.0,1,0.16666666666666666
YOL136C,0.0,0.0,0.0,0,0.0
YDR170C,0.16783216783216784,0.0,2.6666666666666665,1,0.16783216783216784
YCR081W,0.6166666666666667,2.321428571428571,3.0,0,0.6166666666666667
YHL007C,0.9326923076923078,14.580143540669855,6.444444444444445,0,0.9326923076923078
YBL067C,0.0,0.0,0.0,0,0.0
YBL101C,0.0,0.0,0.0,0,0.0
YKR090W,0.0,0.0,0.0,0,0.0
YMR285C,0.0,0.0,0.0,0,0.0
YOL091W,0.0,0.0,0.0,0,0.0
YLR067C,0.0,0.0,0.0,0,0.0
YGR074W,0.0,0.0,0.0,1,0.0
YDR389W,0.0,0.0,0.0,1,0.0
YBR043C,0.0,0.0,0.0,0,0.0
YGL202W,0.0,0.0,0.0,0,0.0
YJR033C,0.24761904761904763,5.843137254901961,3.0,0,0.24761904761904763
YKL188C,0.0,0.0,0.0,0,0.0
YLR440C,0.0,0.0,0.0,1,0.0
YLR147C,0.11264822134387352,0.8571428571428571,2.25,1,0.11264822134387352
YKR080W,0.0,0.0,0.0,0,0.0
YIL139C,0.0,0.0,0.0,0,0.0
YLL021W,0.6153846153846154,3.2,0.0,0,0.6153846153846154
YLR433C,0.4,2.355555555555556,0.0,0,0.4
YBR114W,0.0,0.0,0.0,0,0.0
YGR290W,0.0,0.0,0.0,0,0.0
YHR178W,0.0,0.0,0.0,0,0.0
YMR088C,0.0,0.0,0.0,0,0.0
YDR422C,2.571428571428571,5.885714285714286,19.3125,0,2.571428571428571
YER029C,0.0,0.0,0.0,1,0.0
YLR220W,0.0,0.0,0.0,1,0.0
YNL187W,0.0,0.0,0.0,0,0.0
YDL030W,0.1534090909090909,2.5,4.5,1,0.1534090909090909
YCL061C,0.0,0.0,0.0,0,0.0
YDR421W,0.0,0.0,0.0,0,0.0
YDR485C,0.0,0.0,0.0,0,0.0
YOR023C,0.0,0.0,0.0,0,0.0
YOR191W,0.0,0.0,0.0,0,0.0
YPL146C,0.0,0.0,0.0,1,0.0
YOR017W,0.0,0.0,0.0,0,0.0
YML104C,0.0,0.0,0.0,0,0.0
YMR005W,0.0,0.0,0.0,1,0.0
YIR009W,0.0,0.0,0.0,0,0.0
YAL024C,0.0,0.0,0.0,0,0.0
YBR136W,0.0,0.0,0.0,1,0.0
YNL036W,0.0,0.0,0.0,1,0.0
YJL092W,0.0,0.0,0.0,0,0.0
YIL143C,6.703030303030305,30.268452380952382,12.5,1,6.703030303030305
YDL001W,0.0,0.0,0.0,0,0.0
YDR184C,0.0,0.0,0.0,0,0.0
YHR099W,8.72171634620147,45.76175520386048,13.0,1,8.72171634620147
YHR197W,0.0,0.75,0.0,1,0.0
YNL091W,0.0,0.0,0.0,0,0.0
YOR011W,0.0,0.0,0.0,0,0.0
YLR456W,0.0,0.0,0.0,0,0.0
